text,label
The form requires basic information.,Neutral
The system is updated monthly.,Neutral
The staff works five days a week.,Neutral
The area has good infrastructure.,Neutral
The weather today is cloudy.,Neutral
The document was submitted on time.,Neutral
The announcement was made yesterday.,Neutral
The grievance portal is too slow during evening hours.,Negative
Water supply interruptions happen often without prior notice.,Negative
Road construction has been incomplete for several weeks.,Negative
The mobile app crashes whenever I try to submit a complaint.,Negative
Garbage pickup is irregular and waste remains on the street.,Negative
Bus timing information is frequently wrong and misleading.,Negative
Support staff did not respond to repeated follow-up calls.,Negative
The online payment page failed after entering card details.,Negative
Streetlights in our lane are still not working at night.,Negative
The service center was overcrowded and poorly managed.,Negative
No action was taken on open drainage complaints.,Negative
Traffic signal synchronization failed and caused long jams.,Negative
The website login process is confusing and unreliable.,Negative
Public restroom facilities are dirty and badly maintained.,Negative
The issue tracker shows old status even after resolution.,Negative
My request was closed without solving the actual problem.,Negative
Rainwater logging complaints were ignored for many days.,Negative
The helpline disconnected calls before recording my issue.,Negative
Online document verification failed multiple times.,Negative
The parking payment kiosk was not functioning properly.,Negative
The municipal office opened at 10 AM today.,Neutral
A public notice was displayed on the city website.,Neutral
The ward meeting is scheduled for Friday afternoon.,Neutral
The service counter is open Monday to Saturday.,Neutral
The inspection team visited our locality this morning.,Neutral
A maintenance announcement was posted for tomorrow.,Neutral
The monthly civic bulletin was released in the evening.,Neutral
The department uploaded a new circular on the portal.,Neutral
I submitted my application at the district office.,Neutral
The meeting will be held at 2 PM.,Neutral
The office is closed on Sunday.,Neutral
The report was submitted on time.,Neutral
The procedure takes about 15 minutes.,Neutral
There are 50 vacant positions available.,Neutral
The application form has 10 sections.,Neutral
today is Monday.,Neutral
It is raining outside.,Neutral
The temperature is 25 degrees.,Neutral
My name is John.,Neutral
The city has 5 million people.,Neutral
The document has 20 pages.,Neutral
"The transport department shared updated route information.",Neutral
"A review meeting was held at the municipal hall.",Neutral
"The report was forwarded to the engineering section.",Neutral
"The portal displayed the same update as yesterday.",Neutral
"Officials conducted a survey in our market area.",Neutral
"The sanitation schedule was posted on the notice board.",Neutral
"A routine audit was completed in Zone 3.",Neutral
"The office issued new helpdesk contact numbers.",Neutral
"The water department shared a routine inspection note.",Neutral
"The meeting minutes were uploaded to the portal.",Neutral
"The civic app showed a standard system update message.",Neutral
